,COUNTRIES,TOTAL CASES,NEW CASES,NEW DEATHS,TOTAL DEATHS,TOTAL RECOVERED
270,Netherlands,74787,+925,+2,6243,N/A
271,UAE,73984,+513,,388,66095
272,Belarus,72859,+196,+6,711,71864
273,Japan,70876,,,1349,61445
274,Poland,70824,+437,+7,2120,54256
275,Morocco,70160,,,1329,53929
276,Honduras,64352,+554,+22,2006,13115
277,Portugal,60258,+315,+2,1840,42953
278,Ethiopia,57466,,,897,20776
279,Singapore,57022,+40,,27,56333
280,Nigeria,54905,,,1054,42922
281,Bahrain,54771,,+3,199,50645
282,Venezuela,52165,,,420,42006
283,Costa Rica,46920,,,478,18211
284,Algeria,46364,+293,+7,1556,32745
285,Nepal,46257,+980,+9,289,28941
286,Armenia,44783,+134,+2,897,40089
287,Ghana,44777,,,283,43693
288,Kyrgyzstan,44403,+87,,1060,39826
289,Switzerland,44401,+444,,2013,37100
290,Uzbekistan,43476,+183,+2,345,40880
291,Moldova,39797,+324,,1063,27799
292,Afghanistan,38398,+74,+3,1412,30537
293,Azerbaijan,37329,+137,+3,548,34705
294,Kenya,35103,+83,+3,597,21230
295,Serbia,31905,+56,+1,724,30637
296,Ireland,29672,+138,,1777,23364
297,Austria,29271,+184,+1,736,25043
298,Czechia,27957,+205,+4,435,19049
299,El Salvador,26308,+102,+7,759,15815
300,Australia,26278,+71,+5,753,22462
301,Palestine,26127,+552,+4,181,16843
302,Paraguay,21871,,,412,10810
303,Bosnia and Herzegovina,21560,+121,+4,655,14709
304,S. Korea,21177,+167,+1,334,16146
305,Lebanon,20426,+415,+4,191,6139
306,Cameroon,19604,,,415,18448
307,Ivory Coast,18472,,,119,17323
308,Denmark,17883,+147,,627,15760
309,Libya,17749,+655,+13,285,2081
310,Bulgaria,17050,,,671,12132
311,Madagascar,15319,+50,+1,200,14139
312,North Macedonia,15090,+92,+3,617,12235
313,Senegal,13987,+39,,290,9922
314,Sudan,13407,,,832,6725
315,Zambia,12776,+67,+3,295,11674
316,Croatia,11964,+225,+1,198,9008
317,Greece,11524,+138,+4,284,3804
318,Norway,11330,+34,,264,9348
319,Albania,10255,+153,+4,316,6106
320,DRC,10210,+32,+1,260,9439
321,Guinea,9722,+73,,61,8886
322,Malaysia,9397,+6,,128,9115
323,French Guiana,9322,,,62,8870
324,Tajikistan,8792,+35,,70,7581
325,Gabon,8601,,,53,7424
326,Namibia,8514,,,87,3643
327,Maldives,8486,,,29,5822
328,Hungary,8387,+495,,624,3958
329,Haiti,8360,+24,+2,214,5933
330,Finland,8291,+30,,336,7350
331,Mauritania,7134,,,160,6658
332,Luxembourg,6896,,,124,6126
333,Zimbabwe,6837,,,206,5345
334,Malawi,5611,,,175,3551
335,Montenegro,5422,,,107,4224
336,Djibouti,5387,,,60,5327
337,Equatorial Guinea,4972,,,83,4413
338,Hong Kong,4879,+21,,94,4510
339,Eswatini,4819,,,94,3903
340,Tunisia,4776,,,93,1701
341,CAR,4729,,,62,1818
342,Nicaragua,4668,,,141,2913
343,Congo,4628,,,102,1742
344,Slovakia,4614,+88,,37,2802
345,Rwanda,4349,,,18,2199
